epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1127.42,0.60156,0.54765,1.22901,0.99554,0.96,0.95866,0.89428,0.45989,0.41466,1.14983,0.000416,0.000416,0.000416
82,1140.36,0.5904,0.54109,1.23361,0.99584,0.96,0.959,0.93014,0.39807,0.38537,1.11411,0.0003962,0.0003962,0.0003962
83,1154.32,0.57275,0.53425,1.20112,0.99737,0.96,0.95861,0.93382,0.39591,0.38915,1.08667,0.0003764,0.0003764,0.0003764
84,1167.46,0.59672,0.52727,1.20446,0.99503,0.96,0.95779,0.89734,0.4317,0.41621,1.09805,0.0003566,0.0003566,0.0003566
85,1181.86,0.55128,0.52482,1.18303,0.99163,0.96,0.95692,0.90306,0.41669,0.42699,1.07311,0.0003368,0.0003368,0.0003368
86,1196.21,0.59605,0.54397,1.22482,0.99686,0.96,0.9579,0.9258,0.38266,0.35493,1.05962,0.000317,0.000317,0.000317
87,1208.82,0.60723,0.56269,1.226,0.9973,0.96,0.95935,0.92338,0.38416,0.37075,1.07102,0.0002972,0.0002972,0.0002972
88,1223.34,0.57621,0.51527,1.19365,0.99654,0.96,0.95929,0.92342,0.40327,0.39379,1.09425,0.0002774,0.0002774,0.0002774
89,1237.23,0.54637,0.49816,1.17092,0.99734,0.96,0.9589,0.94076,0.37055,0.36639,1.0644,0.0002576,0.0002576,0.0002576
90,1250.83,0.57744,0.54234,1.22688,0.99555,0.96,0.95817,0.91796,0.35902,0.36243,1.03945,0.0002378,0.0002378,0.0002378
91,1275.12,0.44725,0.54131,1.09954,0.99549,0.96,0.96575,0.91605,0.37992,0.38378,1.05246,0.000218,0.000218,0.000218
92,1291.35,0.40407,0.43795,1.05879,0.99571,0.96,0.95814,0.91125,0.35944,0.39761,1.04917,0.0001982,0.0001982,0.0001982
93,1303.71,0.39859,0.41384,1.03425,0.99487,0.96,0.95905,0.93491,0.36906,0.38776,1.05074,0.0001784,0.0001784,0.0001784
94,1316.68,0.38209,0.39352,1.03232,0.996,0.96,0.95938,0.93109,0.37891,0.41358,1.05041,0.0001586,0.0001586,0.0001586
95,1329.14,0.38061,0.37562,1.01818,0.99714,0.96,0.95955,0.93551,0.33989,0.38648,1.03687,0.0001388,0.0001388,0.0001388
96,1342.76,0.36407,0.371,1.02689,0.9977,0.96,0.97038,0.93335,0.36277,0.3817,1.05247,0.000119,0.000119,0.000119
97,1355.74,0.37459,0.36829,1.03432,0.99768,0.96,0.96908,0.94491,0.32537,0.35013,1.04024,9.92e-05,9.92e-05,9.92e-05
98,1369.16,0.38343,0.36506,1.04278,0.99767,0.96,0.96971,0.9317,0.32376,0.34786,1.03702,7.94e-05,7.94e-05,7.94e-05
99,1381.81,0.34281,0.34498,1.00594,0.99772,0.96,0.97087,0.93857,0.30496,0.33702,1.02282,5.96e-05,5.96e-05,5.96e-05
100,1397.45,0.35677,0.35033,1.02839,0.9976,0.96,0.9675,0.94714,0.29775,0.33145,1.01871,3.98e-05,3.98e-05,3.98e-05
